STATION	LONGITUDE	LATITUDE	NOISE(NM/S)	NOISE(CATEGORY)
FR.PLDF	3.623	45.965	247.253	H
FR.PLYF	4.743	46.957	293.218	H
FR.REST	3.859	43.715	223.704	H
FR.RIVEL	5.922	46.759	274.566	H
FR.RONF	6.645	47.710	254.980	H
FR.RSL	6.625	45.688	210.829	H
FR.RUSF	5.482	43.929	307.219	H
FR.SALSA	6.689	43.881	304.836	H
FR.SAOF	7.554	43.987	134.057	M
FR.SAUF	5.106	43.938	272.272	H
FR.SGSF	3.619	45.048	232.239	H
FR.SLVF	2.164	44.191	185.102	M
FR.SPIF	7.237	44.056	181.906	M
FR.STROF	6.601	43.220	165.120	M
FR.SURF	6.812	44.481	245.989	H
FR.TAMIE	6.306	45.689	282.737	H
FR.TRIGF	6.407	43.747	258.714	H
FR.TURF	7.392	43.975	178.752	M
FR.VERF	2.484	45.750	218.731	H
FR.WALT	7.277	47.966	339.063	H
G.SSB	4.542	45.279	208.164	H
GE.MARCO	15.806	40.297	147.362	M
GE.MATE	16.704	40.649	171.932	M
GE.TIRR	28.413	44.458	266.857	H
GR.FUR	11.277	48.164	496.983	H
GR.GEC2	13.701	48.844	270.725	H
GR.GEC7	13.714	48.835	347.564	H
GR.UBR	10.107	47.680	376.960	H
GU.BHB	7.263	44.836	138.238	M
GU.BLANC	6.934	45.844	437.684	H
GU.BURY	7.557	43.782	218.342	H
GU.CANO	8.237	44.208	137.831	M
GU.CARD	10.482	44.026	373.637	H
GU.CIRO	7.568	45.602	176.467	M
GU.ENR	7.418	44.229	319.337	H
GU.EQUI	10.153	44.166	298.897	H
GU.GBOS	7.840	44.242	117.286	M
GU.GORR	9.293	44.607	242.394	H
GU.GRAM	10.065	44.490	344.393	H
GU.GSCL	10.588	44.351	343.311	H
GU.IMI	7.893	43.910	393.409	H
GU.PCP	8.545	44.541	198.985	M
GU.POPM	10.757	44.045	279.869	H
GU.PZZ	7.116	44.507	196.380	M
GU.REMY	7.157	45.838	7185.949	H
GU.RNCA	8.951	44.471	390.450	H
GU.RORO	8.067	44.112	144.171	M
GU.ROTM	8.353	44.849	517.854	H
GU.RRL	6.791	44.921	251.855	H
GU.RSP	7.265	45.148	104.653	M
GU.STV	7.326	44.245	141.510	M
GU.TRAV	7.747	45.513	195.437	M
HA.ACOR	22.869	37.891	168.973	M
HA.ATAL	23.021	38.693	720.665	H
HA.ATHR	20.416	38.317	3340.874	H
HA.ATHU	23.785	37.967	179.017	M
HA.AXAR	22.659	38.766	168.551	M
HA.DOMV	22.980	38.257	1279.551	H
HA.EPID	23.119	37.614	946.125	H
HA.ERTR	23.786	38.407	179.492	M
HA.HAVD	20.385	38.204	2815.457	H
HA.KALE	22.140	38.391	202.515	H
HA.KARY	24.437	38.032	1094.964	H
HA.LAKA	21.979	38.240	1783.672	H
HA.LOUT	22.974	37.988	1889.441	H
HA.MDRA	23.466	38.061	894.251	H
HA.MRKA	23.586	38.705	228.899	H
HA.MRTH	23.941	38.123	1417.409	H
HA.SERI	24.485	37.161	3779.547	H
HA.SNT1	25.428	36.416	490.413	H
HA.THAL	22.663	38.036	384.549	H
HA.THIV	23.332	38.299	463.665	H
HA.VILL	23.312	38.164	1001.278	H
HC.CHAN	24.043	35.519	456.375	H
HC.GVDS	24.058	34.839	2547.333	H
HC.IMOD	24.799	34.973	422.646	H
HC.IPPL	24.463	35.349	nan	B
HC.KNDR	23.625	35.235	1182.932	H
HC.KNSS	25.180	35.304	563.454	H
HC.KTHR	22.994	36.245	143.562	M
HC.PFKS	25.473	35.043	117.243	M
HC.RODP	23.758	35.560	937.500	H
HC.STIA	26.091	35.202	778.532	H
HC.THNO	25.022	37.654	2217.211	H
HL.ANKY	23.301	35.867	128.211	M
HL.APE	25.523	37.073	204.619	H
HL.ATH	23.718	37.974	115.577	M
HL.GVD	24.087	34.839	356758.108	H
HL.IACM	25.071	35.306	252.180	H
HL.IDI	24.890	35.288	77.587	M
HL.IMMV	23.981	35.461	89.166	M
HL.ITM	21.925	37.179	115.841	M
HL.KEK	19.796	39.713	154.401	M
HL.KLV	22.150	38.044	109.437	M
HL.KSTE	25.337	35.180	11520.744	H
HL.KZN	21.782	40.303	148.765	M
HL.LIA	25.181	39.897	160.420	M
HL.LKR	22.999	38.650	177.232	M
HL.MHLO	24.402	36.690	536.606	H
HL.NEO	23.222	39.306	228.258	H
HL.NISR	27.131	36.611	339.819	H
HL.NISR2	27.177	36.574	0.082	B
HL.NVR	23.865	41.348	165.613	M
HL.ORTH	20.696	37.851	403.987	H
HL.PLG	23.444	40.373	157.726	M
HL.PRAS	24.550	41.352	0.036	B
HL.PTL	23.864	38.047	3676.711	H
HL.RDO	25.536	41.145	182.347	M
HL.RLS	21.465	38.056	324.596	H
HL.SIVA	24.812	35.018	369.723	H
HL.TETR	21.275	39.344	238.565	H
HL.THERA	25.475	36.367	516.052	H
HL.THI2	23.211	38.373	2172.084	H
HL.THL	22.014	39.565	144.064	M
HL.THVA	23.336	38.330	412.289	H
HL.VAM	24.200	35.407	100.046	M
HL.VLI	22.947	36.718	185.830	M
HL.VLS	20.589	38.177	116.835	M
HL.VLY	23.794	37.852	116.422	M
HL.ZKR	26.217	35.115	660.363	H
HP.AMPL	21.213	38.922	156.703	M
HP.AMT	21.709	37.532	128.677	M
HP.ANX	21.921	38.593	0.000	B
HP.AXS	21.376	38.196	194.864	M
HP.DRO	21.710	37.952	110.019	M
HP.DSF	22.527	38.411	170.397	M
HP.EFP	21.906	38.427	195.477	M
HP.FSK	20.562	38.459	148.740	M
HP.GUR	22.342	37.936	178.056	M
HP.KSTR	20.576	39.249	0.006	B
HP.LTHK	20.837	37.709	318.355	H
HP.LTK	22.967	38.023	256.004	H
HP.PDO	21.183	38.599	136.862	M
HP.PLEV	21.407	38.412	127.777	M
HP.PRMD	21.096	39.530	95.508	M
HP.PVO	21.525	38.616	271.841	H
HP.PYL	21.742	36.895	201.828	H
HP.SERG	22.057	38.413	147.028	M
HP.UPR	21.786	38.284	294.190	H
HP.VLX	22.379	37.370	144.635	M
HP.VVK	21.812	38.422	355.214	H
HT.AGG	22.336	39.021	67.871	M
HT.ALN	26.046	40.885	20996.759	H
HT.CMBO	25.406	36.471	937.084	H
HT.DRAG	20.575	38.684	0.834	L
HT.EVGI	20.656	38.621	795.933	H
HT.FLNA	21.386	40.781	1.188	L
HT.GRG	22.401	40.957	463.756	H
HT.HORT	23.100	40.598	119.479	M
HT.IGT	20.330	39.532	141.634	M
HT.KAVA	24.514	40.997	273.499	H
HT.KOKK	23.999	40.818	237.636	H
HT.KPRO	21.363	39.955	177.967	M
HT.KRND	23.150	37.383	206.699	H
HT.LIT	22.489	40.103	148.506	M
HT.LKD2	20.658	38.789	197.732	M
HT.NEST	21.049	40.415	188.278	M
HT.OUR	23.979	40.333	183.260	M
HT.PAIG	23.677	39.936	170.212	M
HT.PSDA	20.584	38.114	330.174	H
HT.RTZL	20.771	38.076	187.558	M
HT.SOH	23.354	40.822	161.979	M
HT.SRS	23.595	41.109	176.382	M
HT.THAS	24.719	40.606	143.885	M
HT.THE	22.963	40.632	706.352	H
HU.ABAH	21.240	48.296	528.932	H
HU.AMBH	20.726	46.350	134.642	M
HU.BEHE	16.776	46.471	1159.265	H
HU.BSZH	20.267	47.300	2059.249	H
HU.BUD	19.020	47.483	319.983	H
HU.CSKK	18.261	47.363	559.349	H
HU.EGYH	17.332	47.416	1038.053	H
HU.KOVH	18.100	46.088	257.515	H
HU.LTVH	21.901	47.385	1522.588	H
HU.MORH	18.644	46.215	215.545	H
HU.MPLH	17.535	47.171	334.216	H
HU.PSZ	19.894	47.918	495.597	H
HU.SOP	16.557	47.681	263.262	H
HU.TRPA	22.539	48.130	600.224	H
IV.ACER	15.943	40.787	253.692	H
IV.AGLI	9.173	41.127	202.414	H
IV.AIO	15.233	37.971	134.984	M
IV.ALJA	13.754	37.749	183.450	M
IV.AMUR	16.604	40.907	138.526	M
IV.AOI	13.602	43.550	398.336	H
IV.APEC	12.420	43.558	438.336	H
IV.APRC	15.543	41.757	153.927	M
IV.ARCI	11.475	42.852	177.104	M
IV.ARVD	12.942	43.498	175.772	M
IV.ASSB	12.659	43.043	181.125	M
IV.ATFO	12.572	43.367	207.175	H
IV.ATPC	12.457	43.481	217.565	H
IV.ATVO	12.407	43.382	274.136	H
IV.BDI	10.597	44.062	185.005	M
IV.BOZZ	10.482	45.107	1497.710	H
IV.BRMO	10.372	46.476	185.561	M
IV.CAAM	14.142	40.820	469.471	H
IV.CAFE	15.237	41.028	475.873	H
IV.CAMP	13.409	42.536	194.765	M
IV.CAPA	15.817	41.158	177.818	M
IV.CASP	10.865	42.791	321.470	H
IV.CAVE	11.003	44.866	558.208	H
IV.CAVT	12.756	37.679	187.749	M
IV.CBAC	14.081	40.811	239.438	H
IV.CDRU	15.305	40.490	127.641	M
IV.CERA	14.018	41.598	214.537	H
IV.CERT	12.982	41.949	136.360	M
IV.CESI	12.905	43.005	199.272	M
IV.CESX	12.587	42.608	171.216	M
IV.CFMN	14.090	40.833	257.914	H
IV.CGL	9.296	39.366	400.676	H
IV.CMIS	14.089	40.778	355.262	H
IV.CMPR	15.303	40.318	120.632	M
IV.CMSN	14.182	40.838	396.838	H
IV.CNIS	14.163	40.798	324.410	H
IV.COLB	14.145	40.819	775.256	H
IV.CPOZ	14.119	40.821	296.069	H
IV.CPTP	14.162	37.407	422.642	H
IV.CRE	11.952	43.619	187.795	M
IV.CRJA	13.004	37.802	568.035	H
IV.CRMI	10.980	43.796	183.266	M
IV.CROCE	14.534	36.833	154.037	M
IV.CRTC	12.883	43.768	308.599	H
IV.CRTO	14.422	40.821	363.477	H
IV.CSFT	14.140	40.829	1.907	L
IV.CSNT	11.290	43.473	177.823	M
IV.CSOB	14.144	40.826	4740.118	H
IV.CSTH	14.149	40.829	296.789	H
IV.DGI	9.607	40.318	132.424	M
IV.ECBD	15.086	37.780	379.598	H
IV.ECHR	14.913	37.686	188.751	M
IV.ECNE	15.002	37.765	2585.639	H
IV.ECPN	14.986	37.744	7549.512	H
IV.ECTS	15.121	37.882	252.518	H
IV.ECZM	14.904	37.731	462.863	H
IV.EFIU	15.210	37.790	132.124	M
IV.EMAS	15.053	37.579	876.638	H
IV.EMCN	15.034	37.791	183.214	M
IV.EMFO	15.090	37.736	519.149	H
IV.EMFS	14.998	37.720	1314.402	H
IV.EMNR	15.026	37.817	409.425	H
IV.EMPL	14.970	37.679	302.074	H
IV.EMSA	14.945	37.498	349.244	H
IV.EMSG	14.950	37.821	144.042	M
IV.ENIC	15.022	37.631	183.475	M
IV.EPMN	15.177	37.820	161.225	M
IV.EPOZ	15.188	37.672	205.810	H
IV.EPZF	14.857	37.824	158.090	M
IV.ESAL	15.134	37.755	175.433	M
IV.ESCV	14.815	37.747	147.096	M
IV.ESML	14.879	37.618	171.522	M
IV.ESPC	15.027	37.693	382.965	H
IV.ESVO	14.947	37.773	1031.241	H
IV.EVRN	15.136	37.689	393.879	H
IV.FAGN	13.584	42.266	173.923	M
IV.FAVA	13.660	37.329	527.554	H
IV.FDMO	13.087	43.036	184.856	M
IV.FIAM	13.117	42.268	151.765	M
IV.FNVD	11.123	44.168	0.213	L
IV.FVI	12.780	46.597	187.299	M
IV.GATE	14.910	41.513	470.535	H
IV.GIB	14.026	37.990	148.366	M
IV.GIGS	13.573	42.453	144.636	M
IV.GIUL	13.255	41.558	nan	B
IV.GIZZ	16.208	38.980	553.029	H
IV.GUMA	13.335	43.063	203.978	H
IV.HMDC	14.783	36.959	122.365	M
IV.HSRS	15.222	37.093	82.333	M
IV.HVIT	14.522	36.993	100.118	M
IV.IFOR	13.855	40.712	574.602	H
IV.IMTC	13.876	40.721	250.038	H
IV.INTR	13.905	42.012	163.563	M
IV.IOCA	13.901	40.747	250.322	H
IV.IPSM	13.944	40.746	902.263	H
IV.IST3	15.230	38.799	1084.883	H
IV.IVGP	14.961	38.397	144.917	M
IV.IVLT	14.948	38.396	134.218	M
IV.LATE	11.804	42.614	176.445	M
IV.LAV9	12.699	41.678	223.203	H
IV.LIBRI	14.929	38.084	96.323	M
IV.LINA	12.864	35.861	44.320	M
IV.LMD	11.707	44.077	173.654	M
IV.LNSS	13.040	42.603	196.985	M
IV.LPEL	14.183	42.047	192.962	M
IV.MA9	12.659	41.770	302.876	H
IV.MABI	10.514	46.055	9.062	L
IV.MAGA	10.629	45.775	253.527	H
IV.MARIO	13.433	37.954	95.790	M
IV.MARS	12.565	37.753	259.169	H
IV.MBAL	10.859	45.698	4735.941	H
IV.MBFT	12.953	37.946	96.586	M
IV.MCT	13.608	37.619	215.596	H
IV.MDI	9.716	45.770	289.062	H
IV.MESG	17.850	40.589	160.566	M
IV.MFNL	12.922	37.791	289.122	H
IV.MGAB	12.112	42.913	172.375	M
IV.MGR	15.554	40.138	170.762	M
IV.MIDA	14.254	41.642	881.383	H
IV.MIGL	16.441	40.604	216.918	H
IV.MILN	9.232	45.480	995.087	H
IV.MILZ	15.231	38.271	354.440	H
IV.MMGO	12.977	37.662	612.794	H
IV.MOCO	15.158	41.370	479.205	H
IV.MOMA	12.570	42.804	218.865	H
IV.MONC	7.927	45.074	404.869	H
IV.MPG	13.360	38.162	131.894	M
IV.MRB1	14.968	41.123	404.013	H
IV.MRCB	15.703	38.162	327.901	H
IV.MRGE	7.061	45.770	228.683	H
IV.MRLC	15.489	40.756	172.742	M
IV.MRVN	16.196	41.061	139.074	M
IV.MSRU	15.508	38.264	96.464	M
IV.MSSA	9.517	44.316	280.785	H
IV.MTCE	12.742	42.023	140.712	M
IV.MTGR	12.759	37.893	0.430	L
IV.MTRZ	11.425	44.313	567.798	H
IV.MTSN	15.752	40.266	146.649	M
IV.MTTG	15.700	38.003	129.722	M
IV.MUCR	14.874	38.043	102.218	M
IV.MURB	12.525	43.263	224.824	H
IV.NARO	12.581	43.611	208.450	H
IV.NDIM	10.899	44.887	494.258	H
IV.NOCI	17.064	40.789	144.824	M
IV.NRCA	13.114	42.834	191.425	M
IV.OFFI	13.686	42.935	449.037	H
IV.OPPE	11.172	45.308	418.687	H
IV.ORI	16.450	40.051	324.990	H
IV.ORZI	9.931	45.406	1048.903	H
IV.OSSC	11.246	43.524	205.703	H
IV.OVO	14.397	40.828	207.456	H
IV.PARC	12.239	43.649	228.980	H
IV.PESA	12.840	43.941	318.635	H
IV.PGEL	11.979	36.794	292.193	H
IV.PGHD	12.040	36.771	959.994	H
IV.PIEI	12.535	43.536	201.175	H
IV.PIGN	14.180	41.200	174.811	M
IV.PII	10.525	43.722	242.626	H
IV.PLAC	16.438	38.449	59.166	M
IV.PLMA	9.854	44.050	154.343	M
IV.POFI	13.712	41.717	108.442	M
IV.PRMA	10.313	44.764	801.513	H
IV.PTCC	13.354	46.407	300.149	H
IV.PTMR	14.035	40.761	379.447	H
IV.PTQR	13.401	42.022	140.223	M
IV.PTRP	16.061	40.521	315.361	H
IV.PZIN	11.973	36.812	508.827	H
IV.PZUN	15.807	40.646	356.528	H
IV.QLNO	8.346	44.324	179.360	M
IV.RMP	12.705	41.812	426.667	H
IV.RNI2	14.152	41.703	280.639	H
IV.ROSPO	14.931	42.236	687.670	H
IV.RSM2	12.445	43.938	607.379	H
IV.SACS	11.910	42.849	186.664	M
IV.SALB	16.346	39.877	135.504	M
IV.SARZ	8.914	44.867	1002.456	H
IV.SCIAC	13.102	37.516	99.940	M
IV.SEI	11.359	44.054	201.220	H
IV.SGO	15.307	40.560	125.502	M
IV.SIRI	15.867	40.182	159.906	M
IV.SNAL	15.209	40.925	238.455	H
IV.SNTG	12.941	43.255	237.570	H
IV.SOLUN	13.533	38.092	275.891	H
IV.SORR	14.336	40.583	175.949	M
IV.SPS2	16.339	39.291	222.958	H
IV.SRES	12.510	42.237	169.913	M
IV.SSFR	12.782	43.436	133.521	M
IV.STAL	12.710	46.260	191.481	M
IV.STRG	15.215	38.810	1693.657	H
IV.TDS	16.338	39.660	279.124	H
IV.TEOL	11.674	45.362	848.681	H
IV.TOLF	12.000	42.064	874.024	H
IV.TREM	15.510	42.123	194.315	M
IV.TRIV	14.550	41.767	331.969	H
IV.TRTR	13.914	42.808	588.301	H
IV.VAGA	14.234	41.415	182.138	M
IV.VARE	8.770	45.868	365.988	H
IV.VBKE	14.439	40.819	263.598	H
IV.VBKN	14.430	40.830	312.706	H
IV.VCRE	14.431	40.819	334.512	H
IV.VISG	11.434	44.189	126.079	M
IV.VITU	14.630	41.183	168.036	M
IV.VIVA	12.770	41.750	577.353	H
IV.VMAN	10.663	45.313	722.641	H
IV.VMGN	11.533	43.955	144.659	M
IV.VTIR	14.424	40.806	132.646	M
IV.VULT	15.616	40.955	246.046	H
IV.ZCCA	10.976	44.351	637.828	H
IX.AND3	15.333	40.930	780.680	H
IX.COL3	15.330	40.687	883.880	H
IX.PGN3	15.797	40.572	456.921	H
IX.RDM3	15.536	40.876	630.088	H
IX.RSF3	15.176	40.964	4267.871	H
IX.SSB3	15.229	41.078	590.075	H
KO.CRLT	27.736	41.129	1118.969	H
KO.EDRB	26.744	41.847	268.194	H
KO.ENEZ	26.153	40.736	640.235	H
KO.ERIK	26.513	40.671	872.572	H
KO.GADA	25.899	40.191	383.610	H
KO.GAZK	27.328	40.748	754.629	H
KO.GELI	26.474	40.398	1042.983	H
KO.PHSR	27.524	41.631	198.106	M
KO.RKY	27.178	40.687	416.470	H
MD.KIS	28.817	46.998	739.740	H
MD.PURM	29.872	46.529	758.826	H
MD.SORM	28.351	48.135	336.342	H
ML.MSDA	14.484	35.901	114.472	M
ML.XLND	14.220	36.032	59.420	M
MN.AQU	13.405	42.354	153.226	M
MN.BLY	17.184	44.749	202.502	H
MN.CUC	15.816	39.994	127.748	M
MN.PDG	19.261	42.430	166.471	M
MN.SENA	9.457	40.444	95.860	M
MN.TUE	9.347	46.472	228.393	H
MN.VLC	10.386	44.159	197.090	M
MN.VSL	9.378	39.496	56.657	M
MN.WDD	14.524	35.837	50.338	M
MT.AVM	5.675	44.942	409.159	H
MT.AVP	5.672	44.941	3496.462	H
MT.AVR	5.653	44.956	460.280	H
NI.POLC	12.501	46.027	5.145	L
